comparison,coordinate,count
exact_kerchunk_only,1968-02-16 00:00:00,1
exact_kerchunk_only,1970-02-15 12:00:00,1
exact_kerchunk_only,1970-03-17 12:00:00,1
exact_kerchunk_only,1970-04-17 00:00:00,1
exact_kerchunk_only,1970-05-17 12:00:00,1
exact_kerchunk_only,1970-06-17 00:00:00,1
exact_kerchunk_only,1970-07-17 12:00:00,1
exact_kerchunk_only,1970-08-17 12:00:00,1
exact_kerchunk_only,1970-09-17 00:00:00,1
exact_kerchunk_only,1970-10-17 12:00:00,1
exact_kerchunk_only,1970-11-17 00:00:00,1
exact_kerchunk_only,1970-12-17 12:00:00,1
exact_kerchunk_only,1971-01-17 12:00:00,1
exact_kerchunk_only,1971-02-16 00:00:00,1
exact_kerchunk_only,1971-03-17 12:00:00,1
exact_kerchunk_only,1971-04-17 00:00:00,1
exact_kerchunk_only,1971-05-17 12:00:00,1
exact_kerchunk_only,1971-06-17 00:00:00,1
exact_kerchunk_only,1971-07-17 12:00:00,1
exact_kerchunk_only,1971-08-17 12:00:00,1
exact_kerchunk_only,1971-09-17 00:00:00,1
exact_kerchunk_only,1971-10-17 12:00:00,1
exact_kerchunk_only,1971-11-17 00:00:00,1
exact_kerchunk_only,1971-12-17 12:00:00,1
exact_kerchunk_only,1972-01-17 12:00:00,1
exact_kerchunk_only,1972-02-16 00:00:00,1
exact_kerchunk_only,1974-02-15 12:00:00,1
exact_kerchunk_only,1974-03-17 12:00:00,1
exact_kerchunk_only,1974-04-17 00:00:00,1
exact_kerchunk_only,1974-05-17 12:00:00,1
exact_kerchunk_only,1974-06-17 00:00:00,1
exact_kerchunk_only,1974-07-17 12:00:00,1
exact_kerchunk_only,1974-08-17 12:00:00,1
exact_kerchunk_only,1974-09-17 00:00:00,1
exact_kerchunk_only,1974-10-17 12:00:00,1
exact_kerchunk_only,1974-11-17 00:00:00,1
exact_kerchunk_only,1974-12-17 12:00:00,1
exact_kerchunk_only,1975-01-17 12:00:00,1
exact_kerchunk_only,1975-02-16 00:00:00,1
exact_kerchunk_only,1975-03-17 12:00:00,1
