frequency,json,num_netcdf_files,timesteps,dims,kerchunk_time,netcdf_time
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r2i1p1f2.day.tas.gr.v20181126.kerchunk.json,1,60265,"{'time': 60265, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",1.504118898010347,15.36918048595544
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r14i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.1834199709701352,13.526268339017406
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r7i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.265430957020726,12.639050273050088
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.E3SM-Project.E3SM-1-0.historical.r2i1p1f1.day.tas.gr.v20210913.kerchunk.json,17,60225,"{'lat': 180, 'bnds': 2, 'lon': 360, 'time': 60225}",1.0594613199937157,17.58685775200138
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-present.r3i1p1f2.day.pr.gr.v20200615.kerchunk.json,7,23741,"{'time': 23741, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.7648490410065278,36.86425005696947
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r30i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.0940239500487223,11.264641748042777
day,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-HR.hist-1950.r1i1p1f1.day.pr.gr.v20170915.kerchunk.json,42,12784,"{'lat': 361, 'bnds': 2, 'lon': 720, 'time': 12784}",0.6288319639861584,7.911289946001489
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1-HR.highresSST-present.r9i1p1f2.day.pr.gr.v20200615.kerchunk.json,7,23741,"{'time': 23741, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.7104841169784777,33.64148813002976
day,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/day/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-LR.hist-1950.r2i1p1f1.day.pr.gr.v20181119.kerchunk.json,42,12784,"{'lat': 181, 'bnds': 2, 'lon': 360, 'time': 12784}",0.5402768719941378,7.6725873030372895
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r10i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.0206867170054466,10.725093534972984
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.EC-Earth-Consortium.EC-Earth3P.highresSST-present.r3i1p1f1.day.pr.gr.v20190509.kerchunk.json,65,23741,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 23741}",1.9255538120050915,14.93271124403691
day,/global/cfs/projectdirs/m4931/kerchunk/pr/control-1950/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.control-1950.r1i1p1f2.day.pr.gr.v20190401.kerchunk.json,10,36525,"{'time': 36525, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.6491147599881515,9.234710185031872
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.EC-Earth-Consortium.EC-Earth3P-HR.highresSST-future.r1i1p1f1.day.pr.gr.v20190514.kerchunk.json,35,12784,"{'lat': 512, 'bnds': 2, 'lon': 1024, 'time': 12784}",3.422270954004489,8.289865665021352
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r28i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.9463076719548553,9.874023205018602
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.IPSL.IPSL-CM6A-ATM-ICO-HR.highresSST-present.r1i1p1f1.day.pr.gr.v20220721.kerchunk.json,3,23741,"{'time': 23741, 'lat': 360, 'lon': 720, 'axis_nbounds': 2}",0.6409300090163015,7.427237689029425
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r13i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.8938095670309849,11.496422456984874
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-future/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.highresSST-future.r9i1p1f2.day.pr.gr.v20200224.kerchunk.json,4,13149,"{'time': 13149, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.44959295802982524,3.168232536991127
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r24i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.9537231280119158,10.468033974000718
day,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/day/CMIP6.HighResMIP.IPSL.IPSL-CM6A-ATM-HR.highresSST-present.r1i1p1f1.day.pr.gr.v20190122.kerchunk.json,1,23741,"{'time': 23741, 'lat': 361, 'lon': 512, 'axis_nbounds': 2}",0.5714390900102444,6.221062976983376
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r32i1p1f1.day.tas.gr.v20190802.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",1.0330184829654172,9.908099207037594
day,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r25i1p1f1.day.tas.gr.v20190614.kerchunk.json,1,60265,"{'time': 60265, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.9934741359902546,9.770839523000177
day,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/day/CMIP6.HighResMIP.CNRM-CERFACS.CNRM-CM6-1.hist-1950.r1i1p1f2.day.pr.gr.v20190401.kerchunk.json,7,23741,"{'time': 23741, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.6316719240276143,6.170336853014305
AERhr,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/hr-misc/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r2i1p1f2.AERhr.tas.gr.v20181126.kerchunk.json,33,1446360,"{'time': 1446360, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",18.647399307985324,227.69796100101667
AERhr,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/hr-misc/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r1i1p1f2.AERhr.tas.gr.v20180917.kerchunk.json,33,1446360,"{'time': 1446360, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",18.37503721995745,244.09991074498976
AERhr,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/hr-misc/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r6i1p1f2.AERhr.tas.gr.v20190125.kerchunk.json,33,1446360,"{'time': 1446360, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",17.28221035003662,253.1814891200047
